Name,Major SN,Major Code,SubType Name,Sub Code
Bare Cast Machined Tile,20,BC,FH/HD Tile Size 7,F7
Bare Cast Machined Tile,20,BC,Special Tile Size 1,S1
Bare Cast Machined Tile,20,BC,Special Tile Size 2,S2
Bare Cast Machined Tile,20,BC,Special Tile Size 3,S3
Bare Cast Machined Tile,20,BC,Special Tile Size 4,S4
Bare Cast Machined Tile,20,BC,Special Tile Size 5,S5
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 0,00
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 2,02
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 4,04
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 6,06
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 8,08
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 10,10
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 12,12
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 14,14
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 16,16
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 18,18
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 20,20
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 22,22
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 24,24
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 26,26
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 28,28
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 30,30
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 32,32
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 34,34
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 36,36
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 38,38
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 40,40
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 42,42
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 44,44
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 46,46
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 48,48
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 50,50
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 52,52
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 54,54
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 56,56
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 58,58
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 60,60
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 62,62
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 64,64
Bare Injection-Molded Tile,21,BI,BH/LD Tile Size 66,66
