LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,NAME_LABEL,LOCATION,INSTITUTION,MANUFACTURER,PRODUCTION_DATE,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],COMMENT_DESCRIPTION,ATTRIBUTE-NAME[0],ATTRIBUTE-VALUE[0]
IC-LPG,64ADE62F,64ADE62F,LPGBT E 0x64ADE62F,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000919,E LPGBT for 320EL10W1010085,lpGBT Location LD Engine,TRIG-E
IC-LPG,E4A987C5,E4A987C5,LPGBT W 0xE4A987C5,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000920,W LPGBT for 320EL10W1010085,lpGBT Location LD Engine,TRIG-W
IC-LPG,8C2F02FB,8C2F02FB,LPGBT DAQ 0x8C2F02FB,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000921,DAQ LPGBT for 320EL10W1010086,lpGBT Location LD Engine,DAQ
IC-LPG,A42C6E70,A42C6E70,LPGBT E 0xA42C6E70,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000922,E LPGBT for 320EL10W1010086,lpGBT Location LD Engine,TRIG-E
IC-LPG,0CAF424B,0CAF424B,LPGBT W 0x0CAF424B,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000923,W LPGBT for 320EL10W1010086,lpGBT Location LD Engine,TRIG-W
IC-LPG,2CAD1557,2CAD1557,LPGBT DAQ 0x2CAD1557,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000924,DAQ LPGBT for 320EL10W1010087,lpGBT Location LD Engine,DAQ
IC-LPG,EC29AD0E,EC29AD0E,LPGBT E 0xEC29AD0E,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000925,E LPGBT for 320EL10W1010087,lpGBT Location LD Engine,TRIG-E
IC-LPG,8C293164,8C293164,LPGBT W 0x8C293164,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000926,W LPGBT for 320EL10W1010087,lpGBT Location LD Engine,TRIG-W
IC-LPG,642FA445,642FA445,LPGBT DAQ 0x642FA445,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000927,DAQ LPGBT for 320EL10W1010088,lpGBT Location LD Engine,DAQ
IC-LPG,04AEA498,04AEA498,LPGBT E 0x04AEA498,UMN,UMN,TSMC,2024-04-24,IC-LPS,4000928,E LPGBT for 320EL10W1010088,lpGBT Location LD Engine,TRIG-E
