LABEL_TYPECODE,SERIAL_NUMBER,BARCODE,LOCATION,INSTITUTION,MANUFACTURER,NAME_LABEL,PRODUCTION_DATE,BATCH_NUMBER,COMMENT_DESCRIPTION,MADE-FROM-TYPECODE[0],MADE-FROM-SN[0],MADE-FROM-TYPECODE[1],MADE-FROM-SN[1],MADE-FROM-TYPECODE[2],MADE-FROM-SN[2],MADE-FROM-TYPECODE[3],MADE-FROM-SN[3],MADE-FROM-TYPECODE[4],MADE-FROM-SN[4]
EL-10E,320EL10E1010059,320EL10E1010059,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010059,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,AC2B5371,IC-LPG,242E2D7D,IC-LPG,6CAC18D7,IC-LDH, LDO 14 002887,EL-1BE,320EL1BE1010059
EL-10E,320EL10E1010060,320EL10E1010060,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010060,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,AC2B5371,IC-LPG,242E2D7D,IC-LPG,6CAC18D7,IC-LDH, LDO 14 002883,EL-1BE,320EL1BE1010060
EL-10E,320EL10E1010061,320EL10E1010061,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010061,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E4AA8BA3,IC-LPG,44AFEB96,IC-LPG,ECAE8AFB,IC-LDH, LDO 14 004653,EL-1BE,320EL1BE1010061
EL-10E,320EL10E1010062,320EL10E1010062,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010062,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E4AA8BA3,IC-LPG,44AFEB96,IC-LPG,ECAE8AFB,IC-LDH, LDO 14 004661,EL-1BE,320EL1BE1010062
EL-10E,320EL10E1010063,320EL10E1010063,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010063,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E4AA8BA3,IC-LPG,44AFEB96,IC-LPG,ECAE8AFB,IC-LDH, LDO 14 004583,EL-1BE,320EL1BE1010063
EL-10E,320EL10E1010064,320EL10E1010064,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010064,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E4AA8BA3,IC-LPG,44AFEB96,IC-LPG,ECAE8AFB,IC-LDH, LDO 14 004586,EL-1BE,320EL1BE1010064
EL-10E,320EL10E1010065,320EL10E1010065,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010065,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,0C2D840F,IC-LPG,642C7062,IC-LPG,04AE4A2C,IC-LDH, LDO 14 004552,EL-1BE,320EL1BE1010065
EL-10E,320EL10E1010066,320EL10E1010066,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010066,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,2CAEFED9,IC-LPG,C42A805D,IC-LPG,64AD8683,IC-LDH, LDO 14 004761,EL-1BE,320EL1BE1010066
EL-10E,320EL10E1010067,320EL10E1010067,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010067,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,E4AC3C8B,IC-LPG,6C2ED83F,IC-LPG,2CADFD73,IC-LDH, LDO 14 004693,EL-1BE,320EL1BE1010067
EL-10E,320EL10E1010068,320EL10E1010068,UMN,UMN,Caltronics-Minnesota,LD Engine E 320EL10E1010068,2024-11-22,1,"Preproduction, thermally tested",IC-LPG,CCAA0C3F,IC-LPG,0C283CB2,IC-LPG,2C2FB9EF,IC-LDH, LDO 14 004794,EL-1BE,320EL1BE1010068
