Test ID,ADC,slope,intercept,rsquared
161,EAST_VMON_LVS1,1.0771484375,36.5234375,0.9999597257405121
161,EAST_VMON_LVS2,1.078125,36.5234375,0.9999639006940912
161,EAST_VMON_REF2,1.07421875,37.5,0.9999644640727643
161,EAST_VMON_REF0,0.7880859375,216.9921875,0.9335497882039262
161,EAST_VMON_LVS0,1.07958984375,34.1796875,0.9999944768876158
161,EAST_VMON_REF1,1.08056640625,34.5703125,0.9999855026299455
161,EAST_PROBE_DC,1.07958984375,34.5703125,0.9999813853093681
182,WEST_VMON_LVS1,1.08544921875,32.6171875,0.9999856327653891
182,WEST_VMON_LVS2,1.087890625,32.2265625,0.9999943594012264
182,WEST_VMON_REF2,1.08642578125,32.2265625,0.9999929302355645
182,WEST_VMON_REF0,1.08544921875,32.421875,0.9999961552066193
182,WEST_VMON_LVS0,1.0869140625,32.03125,0.9999870841187131
182,WEST_VMON_REF1,1.08642578125,32.8125,0.999986466538415
182,WEST_PROBE_DC,1.0849609375,33.0078125,0.999999189838632
182,EAST_VMON_LVS1,1.07666015625,36.1328125,0.9999516685656464
182,EAST_VMON_LVS2,1.07275390625,38.0859375,0.9999786613056131
182,EAST_VMON_REF2,1.07666015625,36.71875,0.9999697665981377
182,EAST_VMON_REF0,0.794921875,212.5,0.9356031188841604
182,EAST_VMON_LVS0,1.0791015625,34.765625,0.9999852585044096
182,EAST_VMON_REF1,1.07958984375,34.1796875,0.9999740214472388
182,EAST_PROBE_DC,1.07861328125,34.765625,0.9999895486063578
193,WEST_VMON_LVS1,1.07080078125,33.0078125,0.99999937620237
193,WEST_VMON_LVS2,1.072265625,33.203125,0.9999933643659819
193,WEST_VMON_REF2,1.07177734375,32.8125,0.9999985471246352
193,WEST_VMON_REF0,1.07275390625,33.203125,0.9999993784717531
193,WEST_VMON_LVS0,1.07275390625,32.421875,0.9999952349698518
193,WEST_VMON_REF1,1.07373046875,32.421875,0.9999919348834901
