Label ID,Full Label,Type Code,SN,Major Type ID,Sub Type ID,Time
2108,320BC9000020004,BC90,00020004,6,89,2024-03-14 09:35:25
2109,320BC9000020005,BC90,00020005,6,89,2024-03-14 09:35:26
2110,320BC9000020002,BC90,00020002,6,89,2024-03-14 09:35:26
2111,320BC9000020003,BC90,00020003,6,89,2024-03-14 09:35:26
2112,320BC9000020001,BC90,00020001,6,89,2024-03-14 09:35:26
2113,320MLF2WXIH0009,MLF2W,XIH0009,7,362,2024-03-14 09:35:26
2114,320MLF2WXIH0008,MLF2W,XIH0008,7,362,2024-03-14 09:35:26
2115,320MLF2WXIH0003,MLF2W,XIH0003,7,362,2024-03-14 09:35:26
2116,320MLF2WXIH0002,MLF2W,XIH0002,7,362,2024-03-14 09:35:26
2117,320MLF2WXIH0001,MLF2W,XIH0001,7,362,2024-03-14 09:35:26
2118,320MLF2WXIH0007,MLF2W,XIH0007,7,362,2024-03-14 09:35:26
2119,320MLF2WXIH0006,MLF2W,XIH0006,7,362,2024-03-14 09:35:26
2120,320MLF2WXIH0005,MLF2W,XIH0005,7,362,2024-03-14 09:35:26
2121,320MLF2WXIH0004,MLF2W,XIH0004,7,362,2024-03-14 09:35:26
2122,320TC9910470007,TC99,10470007,2,82,2024-03-14 09:35:26
2123,320TC9910470006,TC99,10470006,2,82,2024-03-14 09:35:26
2124,320TC9910470005,TC99,10470005,2,82,2024-03-14 09:35:26
2125,320TC9910470004,TC99,10470004,2,82,2024-03-14 09:35:26
2126,320TC9910470003,TC99,10470003,2,82,2024-03-14 09:35:26
2127,320TC9910470002,TC99,10470002,2,82,2024-03-14 09:35:26
2128,320TC9910470001,TC99,10470001,2,82,2024-03-14 09:35:26
2129,320TC9910470008,TC99,10470008,2,82,2024-03-14 09:35:26
2130,320TC9910060008,TC99,10060008,2,82,2024-03-14 09:35:26
2131,320TC9910060002,TC99,10060002,2,82,2024-03-14 09:35:26
2132,320TC9910060003,TC99,10060003,2,82,2024-03-14 09:35:26
2133,320TC9910060001,TC99,10060001,2,82,2024-03-14 09:35:26
2134,320TC9910060004,TC99,10060004,2,82,2024-03-14 09:35:26
2135,320TC9910060005,TC99,10060005,2,82,2024-03-14 09:35:26
2136,320BC9910090004,BC99,10090004,6,82,2024-03-14 09:35:26
2137,320WE30A3000007,WE30A3,000007,17,101,2024-03-14 09:35:26
2138,320WE30A3000006,WE30A3,000006,17,101,2024-03-14 09:35:26
2139,320WE30A3000005,WE30A3,000005,17,101,2024-03-14 09:35:26
2140,320WE30A3000004,WE30A3,000004,17,101,2024-03-14 09:35:26
2141,320WE30A3000002,WE30A3,000002,17,101,2024-03-14 09:35:26
2142,320WE30A3000001,WE30A3,000001,17,101,2024-03-14 09:35:26
2143,320WE30A3000009,WE30A3,000009,17,101,2024-03-14 09:35:26
2144,320WE30A3000008,WE30A3,000008,17,101,2024-03-14 09:35:26
2145,320CBTXA2000017,XXXXXX,000017,1,1,2024-03-14 09:35:26
2146,320CBTXA2000016,XXXXXX,000016,1,1,2024-03-14 09:35:26
2147,320CBTXA2000015,XXXXXX,000015,1,1,2024-03-14 09:35:26
2148,320CBTXA2000014,XXXXXX,000014,1,1,2024-03-14 09:35:26
2149,320CBTXA2000013,XXXXXX,000013,1,1,2024-03-14 09:35:26
2150,320CBTXA2000012,XXXXXX,000012,1,1,2024-03-14 09:35:26
2151,320CBTXA2000011,XXXXXX,000011,1,1,2024-03-14 09:35:26
2152,320CBTXA2000010,XXXXXX,000010,1,1,2024-03-14 09:35:26
2153,320CBTXA2000019,XXXXXX,000019,1,1,2024-03-14 09:35:26
2154,320CBTXA2000018,XXXXXX,000018,1,1,2024-03-14 09:35:26
2155,320BC9910090008,BC99,10090008,6,82,2024-03-14 09:35:26
2156,320MLF3CXTT0010,MLF3C,XTT0010,7,360,2024-03-14 09:35:26
2157,320MLF3WX0010,MLF3W,X0010,7,364,2024-03-14 09:35:26
2158,320CBTXD2000038,XXXXXX,000038,1,1,2024-03-14 09:35:27
2159,320CBTXD2000036,XXXXXX,000036,1,1,2024-03-14 09:35:27
2160,320CBTXD2000037,XXXXXX,000037,1,1,2024-03-14 09:35:27
2161,320CBTXD2000034,XXXXXX,000034,1,1,2024-03-14 09:35:27
2162,320CBTXD2000035,XXXXXX,000035,1,1,2024-03-14 09:35:27
2163,320CBTXD2000032,XXXXXX,000032,1,1,2024-03-14 09:35:27
2164,320CBTXD2000033,XXXXXX,000033,1,1,2024-03-14 09:35:27
2165,320CBTXD2000030,XXXXXX,000030,1,1,2024-03-14 09:35:27
2166,320CBTXD2000031,XXXXXX,000031,1,1,2024-03-14 09:35:27
2167,320CBTXC2000050,XXXXXX,000050,1,1,2024-03-14 09:35:27
2168,320TC9910030009,TC99,10030009,2,82,2024-03-14 09:35:27
2169,320TC9910030008,TC99,10030008,2,82,2024-03-14 09:35:27
2170,320TC9910030007,TC99,10030007,2,82,2024-03-14 09:35:27
2171,320TC9910030006,TC99,10030006,2,82,2024-03-14 09:35:27
2172,320TC9910030005,TC99,10030005,2,82,2024-03-14 09:35:27
2173,320TC9910030004,TC99,10030004,2,82,2024-03-14 09:35:27
2174,320TC9910030003,TC99,10030003,2,82,2024-03-14 09:35:27
